year,peninsula,species,count
2011,B,BCNH,2
2004,B,BCNH,1
2006,B,BCNH,1
2008,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2004,B,BCNH,1
2011,B,BCNH,1
2012,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2004,B,BCNH,1
2004,B,BCNH,1
2004,B,BCNH,1
2007,B,BCNH,5
2007,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2004,B,BCNH,1
2004,B,BCNH,3
2005,B,BCNH,3
2006,B,BCNH,1
2007,B,BCNH,9
2004,B,BCNH,2
2005,B,BCNH,1
2011,B,BCNH,4
2004,B,BCNH,1
2005,B,BCNH,1
2006,B,BCNH,1
2008,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2008,B,BCNH,2
2009,B,BCNH,2
2012,B,BCNH,1
2013,B,BCNH,1
2004,B,BCNH,1
2005,B,BCNH,1
2004,B,BCNH,1
2004,B,BCNH,1
2012,B,BCNH,2
2011,B,BCNH,2
2011,B,BCNH,2
2011,B,BCNH,1
2011,B,BCNH,1
2012,B,BCNH,1
2012,B,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2011,B,BCNH,3
2012,B,BCNH,1
2014,B,BCNH,2
2011,B,BCNH,1
2011,B,BCNH,2
2013,B,BCNH,1
2014,B,BCNH,1
2020,B,BCNH,1
2013,B,BCNH,1
2015,C,BCNH,1
2011,B,BCNH,1
2011,B,BCNH,1
2011,B,BCNH,1
2014,B,BCNH,2
2011,B,BCNH,1
2013,B,BCNH,1
2011,B,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,2
2021,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,4
2016,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,1
2014,C,BCNH,2
2016,C,BCNH,2
2017,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,1
2016,C,BCNH,3
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,2
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,3
2015,C,BCNH,2
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,4
2015,C,BCNH,1
2016,C,BCNH,2
2014,C,BCNH,2
2014,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,2
2016,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2020,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,2
2020,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,3
2016,C,BCNH,2
2014,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2020,C,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,2
2015,B,BCNH,1
2017,B,BCNH,2
2015,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,2
2015,B,BCNH,1
2017,B,BCNH,1
2019,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,2
2019,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2015,B,BCNH,2
2016,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,2
2017,B,BCNH,1
2015,B,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,2
2015,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,2
2015,B,BCNH,1
2016,B,BCNH,1
2015,B,BCNH,2
2016,B,BCNH,1
2017,B,BCNH,2
2015,B,BCNH,1
2017,B,BCNH,2
2019,B,BCNH,1
2015,B,BCNH,1
2017,B,BCNH,1
2015,B,BCNH,2
2015,B,BCNH,2
2017,B,BCNH,1
2019,B,BCNH,1
2015,B,BCNH,1
2015,B,BCNH,2
2017,B,BCNH,1
2019,B,BCNH,1
2016,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,2
2016,C,BCNH,2
2017,C,BCNH,2
2016,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,2
2017,C,BCNH,1
2016,C,BCNH,1
2019,C,BCNH,1
2016,C,BCNH,2
2016,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2016,C,BCNH,1
2016,B,BCNH,1
2017,B,BCNH,5
2016,B,BCNH,1
2017,B,BCNH,1
2016,B,BCNH,1
2016,B,BCNH,1
2019,B,BCNH,1
2017,B,BCNH,1
2013,B,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,3
2016,C,BCNH,2
2014,C,BCNH,2
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2014,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2015,C,BCNH,2
2016,C,BCNH,3
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,1
2017,C,BCNH,1
2014,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,1
2016,C,BCNH,1
2014,C,BCNH,2
2015,C,BCNH,2
2014,C,BCNH,2
2015,C,BCNH,1
2016,C,BCNH,2
2014,C,BCNH,1
2015,C,BCNH,1
2016,C,BCNH,3
2014,C,BCNH,2
2015,C,BCNH,1
