treeid,year,xcoord,ycoord,tag,peninsula,northing,easting,bcnh_count,dcco_count
6610,2003,633892.083199999993667,4831290.303399999625981,6610,B,,,1,0
6610,2007,633892.083199999993667,4831290.303399999625981,6610,B,,,8,0
6616,2003,633941.117199999978766,4831239.286299999803305,6616,B,,,2,0
6616,2004,633941.117199999978766,4831239.286299999803305,6616,B,,,2,0
6616,2005,633941.117199999978766,4831239.286299999803305,6616,B,,,1,0
6616,2009,633941.117199999978766,4831239.286299999803305,6616,B,,,1,0
6616,2011,633941.117199999978766,4831239.286299999803305,6616,B,,,1,0
6620,2003,633941.045900000026450,4831238.394999999552965,6620,B,,,2,0
6620,2004,633941.045900000026450,4831238.394999999552965,6620,B,,,1,0
6620,2005,633941.045900000026450,4831238.394999999552965,6620,B,,,1,0
6620,2014,633941.045900000026450,4831238.394999999552965,6620,B,,,1,0
6623,2003,633939.774800000013784,4831246.611999999731779,6623,B,,,1,0
6624,2003,633900.093400000012480,4831277.461000000126660,6624,B,,,1,0
6625,2003,633941.907099999953061,4831234.976300000213087,6625,B,,,1,0
6625,2004,633941.907099999953061,4831234.976300000213087,6625,B,,,2,0
6629,2003,633905.734999999986030,4831266.764999999664724,6629,B,,,2,0
6629,2004,633905.734999999986030,4831266.764999999664724,6629,B,,,1,0
6629,2005,633905.734999999986030,4831266.764999999664724,6629,B,,,1,0
6630,2003,633943.269300000043586,4831237.184000000357628,6630,B,,,1,0
6630,2009,633943.269300000043586,4831237.184000000357628,6630,B,,,1,0
6631,2003,633944.655600000056438,4831233.969999999739230,6631,B,,,1,0
6631,2004,633944.655600000056438,4831233.969999999739230,6631,B,,,1,0
6631,2011,633944.655600000056438,4831233.969999999739230,6631,B,,,1,0
6631,2014,633944.655600000056438,4831233.969999999739230,6631,B,,,2,0
6632,2007,633880.610800000024028,4831304.196399999782443,6632,B,,,1,2
6636,2003,633951.233400000026450,4831243.086000000126660,6636,B,,,2,0
6636,2004,633951.233400000026450,4831243.086000000126660,6636,B,,,2,0
6636,2005,633951.233400000026450,4831243.086000000126660,6636,B,,,2,0
6636,2006,633951.233400000026450,4831243.086000000126660,6636,B,,,1,0
6639,2003,633890.427700000000186,4831261.589999999850988,6639,B,,,1,0
6639,2005,633890.427700000000186,4831261.589999999850988,6639,B,,,2,0
6639,2006,633890.427700000000186,4831261.589999999850988,6639,B,,,1,1
6642,2007,633882.634799999999814,4831298.098399999551475,6642,B,,,4,0
6649,2004,633943.908300000010058,4831244.025299999862909,6649,B,,,1,0
6654,2003,633895.041800000006333,4831279.962000000290573,6654,B,,,2,0
6654,2004,633895.041800000006333,4831279.962000000290573,6654,B,,,1,0
6657,2003,633894.882400000002235,4831280.257000000216067,6657,B,,,2,0
6666,2003,633910.681800000020303,4831258.790000000037253,6666,B,,,1,0
6666,2004,633910.681800000020303,4831258.790000000037253,6666,B,,,2,0
6666,2005,633910.681800000020303,4831258.790000000037253,6666,B,,,2,0
6666,2006,633910.681800000020303,4831258.790000000037253,6666,B,,,2,0
6669,2003,633904.104599999962375,4831266.736999999731779,6669,B,,,2,0
6669,2006,633904.104599999962375,4831266.736999999731779,6669,B,,,1,0
6676,2003,633875.307499999995343,4831272.942300000227988,6676,B,,,1,0
6691,2003,633898.665599999949336,4831257.703999999910593,6691,B,,,1,0
6691,2007,633898.665599999949336,4831257.703999999910593,6691,B,,,11,0
6692,2003,633897.078899999964051,4831282.980999999679625,6692,B,,,2,0
6693,2007,633854.702599999960512,4831291.250300000421703,6693,B,,,1,0
6695,2003,633898.592799999983981,4831282.263299999758601,6695,B,,,1,0
6701,2002,633889.802299999981187,4831272.365199999883771,6701,B,,,1,0
6702,2002,633894.596099999966100,4831262.711500000208616,6702,B,,,1,0
6702,2003,633894.596099999966100,4831262.711500000208616,6702,B,,,1,0
6702,2005,633894.596099999966100,4831262.711500000208616,6702,B,,,2,0
6703,2002,633892.634899999946356,4831261.389000000432134,6703,B,,,1,0
6703,2003,633892.634899999946356,4831261.389000000432134,6703,B,,,2,0
6703,2005,633892.634899999946356,4831261.389000000432134,6703,B,,,1,0
6703,2008,633892.634899999946356,4831261.389000000432134,6703,B,,,1,0
6704,2002,633893.635299999965355,4831261.737999999895692,6704,B,,,1,0
6704,2003,633893.635299999965355,4831261.737999999895692,6704,B,,,1,0
6704,2007,633893.635299999965355,4831261.737999999895692,6704,B,,,1,0
6705,2002,633899.004700000048615,4831264.534300000406802,6705,B,,,1,0
6705,2003,633899.004700000048615,4831264.534300000406802,6705,B,,,1,0
6706,2002,633900.687700000009499,4831270.300999999977648,6706,B,,,1,0
6707,2002,633897.398599999956787,4831269.327999999746680,6707,B,,,1,0
6707,2005,633897.398599999956787,4831269.327999999746680,6707,B,,,4,0
6708,2002,633904.167900000000373,4831272.140999999828637,6708,B,,,3,0
6708,2003,633904.167900000000373,4831272.140999999828637,6708,B,,,3,0
6708,2004,633904.167900000000373,4831272.140999999828637,6708,B,,,1,1
6708,2006,633904.167900000000373,4831272.140999999828637,6708,B,,,2,2
6709,2002,633903.680300000007264,4831270.430399999953806,6709,B,,,1,0
6710,2002,633904.652200000011362,4831270.243200000375509,6710,B,,,1,0
6710,2003,633904.652200000011362,4831270.243200000375509,6710,B,,,1,0
6711,2002,633907.131700000027195,4831271.001000000163913,6711,B,,,1,0
6711,2003,633907.131700000027195,4831271.001000000163913,6711,B,,,1,0
6712,2002,633909.902299999957904,4831271.405199999921024,6712,B,,,1,0
6713,2002,633912.578199999989010,4831270.294099999591708,6713,B,,,1,0
6713,2003,633912.578199999989010,4831270.294099999591708,6713,B,,,1,0
6713,2006,633912.578199999989010,4831270.294099999591708,6713,B,,,1,0
6714,2002,633912.826499999966472,4831269.155000000260770,6714,B,,,4,0
6714,2003,633912.826499999966472,4831269.155000000260770,6714,B,,,2,0
6714,2004,633912.826499999966472,4831269.155000000260770,6714,B,,,1,0
6714,2006,633912.826499999966472,4831269.155000000260770,6714,B,,,4,0
6714,2007,633912.826499999966472,4831269.155000000260770,6714,B,,,2,0
6715,2003,633912.415599999949336,4831266.298999999649823,6715,B,,,1,0
6715,2006,633912.415599999949336,4831266.298999999649823,6715,B,,,3,0
6715,2007,633912.415599999949336,4831266.298999999649823,6715,B,,,1,1
6716,2003,633912.123400000040419,4831267.491999999620020,6716,B,,,1,0
6716,2006,633912.123400000040419,4831267.491999999620020,6716,B,,,1,0
6717,2003,633914.927600000053644,4831266.952999999746680,6717,B,,,4,0
6717,2004,633914.927600000053644,4831266.952999999746680,6717,B,,,2,0
6717,2005,633914.927600000053644,4831266.952999999746680,6717,B,,,2,0
6717,2006,633914.927600000053644,4831266.952999999746680,6717,B,,,3,0
6718,2004,633914.662000000011176,4831262.254999999888241,6718,B,,,1,0
