tree_id,x_coord,y_coord,tag,peninsula,northing,easting,DCCO1992,DCCO1993,DCCO1994,DCCO1995,DCCO1996,DCCO1997,DCCO1998,DCCO1999,DCCO2000,DCCO2001,DCCO2002,DCCO2003,DCCO2004,DCCO2005,DCCO2006,DCCO2007,DCCO2008,DCCO2009,DCCO2010,DCCO2011,DCCO2012,DCCO2013,DCCO2014,DCCO2015,DCCO2016,DCCO2017,DCCO2018,DCCO2019,DCCO2020,DCCO2021,DCCO2022,DCCO2023,BCNH1992,BCNH1993,BCNH1994,BCNH1995,BCNH1996,BCNH1997,BCNH1998,BCNH1999,BCNH2000,BCNH2001,BCNH2002,BCNH2003,BCNH2004,BCNH2005,BCNH2006,BCNH2007,BCNH2008,BCNH2009,BCNH2010,BCNH2011,BCNH2012,BCNH2013,BCNH2014,BCNH2015,BCNH2016,BCNH2017,BCNH2018,BCNH2019,BCNH2020,BCNH2021,BCNH2022,BCNH2023
5888,633621.5384,4831209.668,5888,A,4831116.593,317381.3,0,0,0,0,3,7,8,15,14,12,11,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7437,633622.6789,4831206.96,7437,,,,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5895,633622.7062,4831197.064,5895,A,4831104.278,317386.193,0,0,0,0,3,2,2,4,4,8,8,10,12,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6055,633623.5794,4831200.503,6055,A,0,0,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5884,633627.0475,4831195.902,5884,A,4831103.172,317392.552,0,0,0,0,1,1,2,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6613,633627.0997,4831199.531,6613,,,,0,0,0,0,0,0,0,0,0,0,0,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5900,633627.2323,4831204.476,5900,A,4831111.561,317391.126,0,0,0,0,1,0,0,5,6,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5885,633628.3938,4831194.064,5885,A,4831101.312,317391.82,0,0,0,0,1,0,0,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6054,633628.7496,4831200.244,6054,A,0,0,0,0,0,0,0,1,2,5,8,7,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6056,633629.4154,4831202.901,6056,A,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
